ClassName,GlobalRef,Global,GlobalBytesUsed,GlobalKB,GlobalMB,GlobalGB,HasGlobalMap,Status,Rows,HasLog,HasCSV,SizeBytes,SizeKB,SizeMB,SizeGB,Note,BaseGlobal
SITE.MCResBioView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MCResDeCtxt,,,0.0,,,,False,OK,0.0,True,True,23.0,0.02,0.0,0.0,\Success\,nan
SITE.MCResDrugCtxt,,,0.0,,,,False,OK,0.0,True,True,60.0,0.06,0.0001,0.0,\Success\,nan
SITE.MCResHoldBio,,,0.0,,,,False,OK,0.0,True,True,112.0,0.11,0.0001,0.0,\Success\,nan
SITE.MCResHoldBioView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MCResHoldSusc,,,0.0,,,,False,OK,0.0,True,True,108.0,0.11,0.0001,0.0,\Success\,nan
SITE.MCResHoldSuscView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MCResOrgCtxt,,,0.0,,,,False,OK,0.0,True,True,24.0,0.02,0.0,0.0,\Success\,nan
SITE.MCResSngFind,,,0.0,,,,False,OK,0.0,True,True,103.0,0.1,0.0001,0.0,\Success\,nan
SITE.MCResSusc,,,0.0,,,,False,OK,0.0,True,True,146.0,0.14,0.0001,0.0,\Success\,nan
SITE.MCResSuscView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MCSensiBatDict,,,0.0,,,,False,OK,383.0,True,True,10454.0,10.21,0.01,1e-05,\Success\,nan
SITE.MCSensiExtRteInt,,,0.0,,,,False,OK,0.0,True,True,36.0,0.04,0.0,0.0,\Success\,nan
SITE.MCSensiExtend,,,0.0,,,,False,OK,0.0,True,True,28.0,0.03,0.0,0.0,\Success\,nan
SITE.MCSensiExtendIntrp,,,0.0,,,,False,OK,0.0,True,True,39.0,0.04,0.0,0.0,\Success\,nan
SITE.MCSensiExtendRoute,,,0.0,,,,False,OK,0.0,True,True,24.0,0.02,0.0,0.0,\Success\,nan
SITE.MCSensiFluidCode,,,0.0,,,,False,OK,2.0,True,True,49.0,0.05,0.0,0.0,\Success\,nan
SITE.MCSensiInterDict,,,0.0,,,,False,OK,664.0,True,True,13333.0,13.02,0.0127,1.2e-05,\Success\,nan
SITE.MCSensiIntrp,,,0.0,,,,False,OK,1832.0,True,True,25839.0,25.23,0.0246,2.4e-05,\Success\,nan
SITE.MCSensiSpecBF,,,0.0,,,,False,OK,0.0,True,True,38.0,0.04,0.0,0.0,\Success\,nan
SITE.MCSpecimen,,,0.0,,,,False,OK,0.0,True,True,167.0,0.16,0.0002,0.0,\Success\,nan
SITE.MCStatBat,,,0.0,,,,False,OK,79928.0,True,True,2203183.0,2151.55,2.1011,0.002052,\Success\,nan
SITE.MCStatBatOrg,,,0.0,,,,False,OK,168629.0,True,True,2542967.0,2483.37,2.4252,0.002368,\Success\,nan
SITE.MCStatBatSpec,,,0.0,,,,False,OK,99916.0,True,True,1179160.0,1151.52,1.1245,0.001098,\Success\,nan
SITE.MCStatBatSpecView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MCStatLoc,,,0.0,,,,False,OK,38308.0,True,True,1245932.0,1216.73,1.1882,0.00116,\Success\,nan
SITE.MCStatPatBat,,,0.0,,,,False,OK,0.0,True,True,152.0,0.15,0.0001,0.0,\Success\,nan
SITE.MCStatPatDrug,,,0.0,,,,False,OK,0.0,True,True,126.0,0.12,0.0001,0.0,\Success\,nan
SITE.MCStatPatDrugView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MCStatPatMth,,,0.0,,,,False,OK,0.0,True,True,25.0,0.02,0.0,0.0,\Success\,nan
SITE.MCStatPatOrg,,,0.0,,,,False,OK,0.0,True,True,22.0,0.02,0.0,0.0,\Success\,nan
SITE.MCStatPatOrgView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MCStatPatSpec,,,0.0,,,,False,OK,0.0,True,True,26.0,0.03,0.0,0.0,\Success\,nan
SITE.MCStatPtDrug,,,0.0,,,,False,OK,0.0,True,True,113.0,0.11,0.0001,0.0,\Success\,nan
SITE.MCStatPtDrugView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MCStatPtOrg,,,0.0,,,,False,OK,0.0,True,True,197.0,0.19,0.0002,0.0,\Success\,nan
SITE.MCStatPtOrgView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MCSuscDrug,,,0.0,,,,False,OK,244134.0,True,True,21133438.0,20638.12,20.1544,0.019682,\Success\,nan
SITE.MCSuscDrugView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MCSuscept,,,0.0,,,,False,OK,609662.0,True,True,16596521.0,16207.54,15.8277,0.015457,\Success\,nan
